Prompt,Modelo,Titulación,Total preguntas,Respondidas,Aciertos,Errores,Sin respuesta,Accuracy (%)
2_prompt_es,gemma,QUÍMICA,1010,1010,443,567,0,43.86
2_prompt_es,llama3,BIOLOGÍA,1025,1021,611,410,4,59.84
2_prompt_es,llama3,ENFERMERÍA,967,965,454,511,2,47.05
2_prompt_es,llama3,FARMACIA,1025,1025,531,494,0,51.8
2_prompt_es,llama3,FÍSICA,1025,1021,356,665,4,34.87
2_prompt_es,llama3,MEDICINA,900,900,434,466,0,48.22
2_prompt_es,llama3,PSICOLOGÍA,1025,1025,493,532,0,48.1
2_prompt_es,llama3,QUÍMICA,1010,1008,450,558,2,44.64
2_prompt_es,mistral,BIOLOGÍA,1025,1017,598,419,8,58.8
2_prompt_es,mistral,ENFERMERÍA,967,948,392,556,19,41.35
2_prompt_es,mistral,FARMACIA,1025,1014,454,560,11,44.77
2_prompt_es,mistral,FÍSICA,1025,1010,327,683,15,32.38
2_prompt_es,mistral,MEDICINA,900,893,389,504,7,43.56
2_prompt_es,mistral,PSICOLOGÍA,1025,1014,464,550,11,45.76
2_prompt_es,mistral,QUÍMICA,1010,1001,416,585,9,41.56
2_prompt_es,phi3,BIOLOGÍA,1025,812,456,356,213,56.16
2_prompt_es,phi3,ENFERMERÍA,967,326,119,207,641,36.5
2_prompt_es,phi3,FARMACIA,1025,1022,467,555,3,45.69
2_prompt_es,phi3,FÍSICA,1025,675,211,464,350,31.26
2_prompt_es,phi3,MEDICINA,900,745,311,434,155,41.74
2_prompt_es,phi3,PSICOLOGÍA,1025,1025,427,598,0,41.66
2_prompt_es,phi3,QUÍMICA,1010,337,140,197,673,41.54
4_prompt_en,deepseek-coder,BIOLOGÍA,1025,309,91,218,716,29.45
4_prompt_en,deepseek-coder,ENFERMERÍA,967,314,78,236,653,24.84
4_prompt_en,deepseek-coder,FARMACIA,1025,313,76,237,712,24.28
4_prompt_en,deepseek-coder,FÍSICA,1025,562,144,418,463,25.62
4_prompt_en,deepseek-coder,MEDICINA,900,213,46,167,687,21.6
4_prompt_en,deepseek-coder,PSICOLOGÍA,1025,358,98,260,667,27.37
4_prompt_en,deepseek-coder,QUÍMICA,1010,442,108,334,568,24.43
4_prompt_en,deepseek-llm,BIOLOGÍA,1025,1022,386,636,3,37.77
4_prompt_en,deepseek-llm,ENFERMERÍA,967,950,317,633,17,33.37
4_prompt_en,deepseek-llm,FARMACIA,1025,1017,310,707,8,30.48
4_prompt_en,deepseek-llm,FÍSICA,1025,965,252,713,60,26.11
4_prompt_en,deepseek-llm,MEDICINA,900,894,270,624,6,30.2
4_prompt_en,deepseek-llm,PSICOLOGÍA,1025,1017,307,710,8,30.19
4_prompt_en,deepseek-llm,QUÍMICA,1009,995,265,730,14,26.63
4_prompt_en,gemma,BIOLOGÍA,1025,1018,579,439,7,56.88
4_prompt_en,gemma,ENFERMERÍA,967,960,410,550,7,42.71
4_prompt_en,gemma,FARMACIA,1025,1017,461,556,8,45.33
4_prompt_en,gemma,FÍSICA,1025,998,351,647,27,35.17
4_prompt_en,gemma,MEDICINA,900,900,367,533,0,40.78
4_prompt_en,gemma,PSICOLOGÍA,1025,1025,428,597,0,41.76
4_prompt_en,gemma,QUÍMICA,1010,1000,434,566,10,43.4
4_prompt_en,llama3,BIOLOGÍA,1025,1022,636,386,3,62.23
4_prompt_en,llama3,ENFERMERÍA,967,962,452,510,5,46.99
4_prompt_en,llama3,FARMACIA,1025,1025,516,509,0,50.34
4_prompt_en,llama3,FÍSICA,1025,1019,363,656,6,35.62
4_prompt_en,llama3,MEDICINA,900,900,445,455,0,49.44
4_prompt_en,llama3,PSICOLOGÍA,1025,1025,490,535,0,47.8
4_prompt_en,llama3,QUÍMICA,1010,1008,465,543,2,46.13
4_prompt_en,mistral,BIOLOGÍA,1025,1016,572,444,9,56.3
4_prompt_en,mistral,ENFERMERÍA,967,960,406,554,7,42.29
4_prompt_en,mistral,FARMACIA,1025,1021,456,565,4,44.66
4_prompt_en,mistral,FÍSICA,1025,1005,334,671,20,33.23
4_prompt_en,mistral,MEDICINA,900,893,390,503,7,43.67
4_prompt_en,mistral,PSICOLOGÍA,1025,1023,456,567,2,44.57
4_prompt_en,mistral,QUÍMICA,1010,1006,427,579,4,42.45
4_prompt_en,phi3,BIOLOGÍA,1025,432,180,252,593,41.67
4_prompt_en,phi3,ENFERMERÍA,967,432,170,262,535,39.35
4_prompt_en,phi3,FARMACIA,1025,382,142,240,643,37.17
4_prompt_en,phi3,FÍSICA,1025,373,96,277,652,25.74
4_prompt_en,phi3,MEDICINA,900,576,252,324,324,43.75
4_prompt_en,phi3,PSICOLOGÍA,1025,521,164,357,504,31.48
4_prompt_en,phi3,QUÍMICA,1010,419,160,259,591,38.19
